Key,English,tchinese
guppyFlamethrower,Flamethrower,火焰噴射器
guppyFlamethrowerDesc,weapons,武器
ammoNapalm,Napalm is fuel for the flamethrower,凝固汽油彈是火焰噴射器的燃料
ammoNapalmDesc,Whip up a batch of this geneva convention banned stuff to fuel your Flame Thrower,調製一批這種日內瓦公約禁止的物質來為你的火焰噴射器提供燃料
guppyFireExtinguisherItem,Fire Extinguisher,滅火器
guppyFireExtinguisherItemDesc,Put out a fire.,撲滅火勢。
guppysFireExtinguisherBlock,Fire Extinguisher,滅火器
guppysFireExtinguisherBlockDesc,Pick up and keep this as you may need it later,撿起並保存，因為你可能稍後需要它
guppyOilSlickGoesInDitch,Ditch Oil Slick,放置油污
guppyOilSlickGoesInDitchDesc,Place in a terrain ditch - This will float up a bit to show in a ditch,放置在地形溝渠中 - 這會浮起一點以顯示在溝渠中
gupOilSlickGoesOnBlock,Block Oil Slick,阻隔油污
gupOilSlickGoesOnBlockDesc,Place on a block - This is level with the ground so do not use in a terrain ditch for best visual effect.  Light this on fire.,放置在一個方塊上 - 這個與地面齊平，因此不要在地形溝渠中使用以獲得最佳的視覺效果。點燃它。
