Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,中文機翻
MechFactionSchematic,items,Item,,,Master of disguse,,,,Maitre de l'écoeurement,,変装の名人,,,,,,,偽裝大師,偽裝大師
VaultDwellersFactionSchematic,items,Item,,,Master of disguse,,,,Maitre de l'écoeurement,,変装の名人,,,,,,,偽裝大師,偽裝大師
RedteamFactionSchematic,items,Item,,,Master of disguse,,,,Maitre de l'écoeurement,,変装の名人,,,,,,,偽裝大師,偽裝大師
BlueteamFactionSchematic,items,Item,,,Master of disguse,,,,Maitre de l'écoeurement,,変装の名人,,,,,,,偽裝大師,偽裝大師
GreenteamFactionSchematic,items,Item,,,Master of disguse,,,,Maitre de l'écoeurement,,変装の名人,,,,,,,偽裝大師,偽裝大師
MechFactionSchematicDesc,items,Item,,,Read this to switch over to the bandit faction!,,,,Lisez ceci pour basculer dans la faction des Mech!,,派閥変更・メカ,,,,,,,閱讀此內容以切換到盜匪陣營！,閱讀此內容以切換到盜匪陣營！
VaultDwellersFactionSchematicDesc,items,Item,,,Read this to switch over to the undead faction!,,,,Lisez ceci pour basculer dans la faction des VaultDwellers!,,派閥変更・ボルト住人,,,,,,,閱讀此內容以切換到不死族陣營！,閱讀此內容以切換到不死族陣營！
RedteamFactionSchematicDesc,items,Item,,,Read this to switch over to the Red team!,,,,Lisez ceci pour basculer dans la faction Redteam!,,チーム変更・赤,,,,,,,閱讀此內容以切換到紅隊！,閱讀此內容以切換到紅隊！
BlueteamFactionSchematicDesc,items,Item,,,Read this to switch over to the Blue team!,,,,Lisez ceci pour basculer dans la faction Blue team!,,チーム変更・青,,,,,,,閱讀此內容以切換到藍隊！,閱讀此內容以切換到藍隊！
GreenteamFactionSchematicDesc,items,Item,,,Read this to switch over to the Green Team!,,,,Lisez ceci pour basculer dans la faction Green Team!,,チーム変更・緑,,,,,,,閱讀此內容以切換到綠隊！,閱讀此內容以切換到綠隊！
MechPositiveFactionSchematic,items,Item,,,Peace and Love to the Mechs,,,,,,ピース&ラブ・メカ,,,,,,,和平與愛給予機甲,和平與愛給予機甲
MechPositiveFactionSchematicDesc,items,Item,,,Read this to spread the message of the mechs! Increase your standings with the mechs!,,,,,,メカの考えを拡散します。\n\nメカの信頼を得ます。,,,,,,,閱讀此內容以散播機甲的訊息！提升你在機甲中的地位！,閱讀此內容以散播機甲的訊息！提升你在機甲中的地位！
MechNegativeFactionSchematic,items,Item,,,Mechs: Unreliable! Untrustworthy!,,,,,,メカ: 頼りにならない！信用できない！,,,,,,,機甲：不可靠！不可信！,機甲：不可靠！不可信！
