Key,File,Type,UsedInMainMenu,english,schinese,tchinese
inpGrpVehicleWeaponBasicName,UI,Controls Dialog,x,Vehicle Weapon Keys,载具武器,車輛武器鍵
inpActVehicleWeaponActivateSlot1Name,UI,Controls Dialog,x,Slot1,槽位1,插槽 1
inpActVehicleWeaponActivateSlot2Name,UI,Controls Dialog,x,Slot2,槽位2,插槽 2
inpActVehicleWeaponActivateSlot3Name,UI,Controls Dialog,x,Slot3,槽位3,插槽 3
inpActVehicleWeaponActivateSlot4Name,UI,Controls Dialog,x,Slot4,槽位4,插槽 4
inpActVehicleWeaponActivateSlot5Name,UI,Controls Dialog,x,Slot5,槽位5,插槽 5
inpActVehicleWeaponActivateSlot6Name,UI,Controls Dialog,x,Slot6,槽位6,插槽 6
inpActVehicleWeaponActivateSlot7Name,UI,Controls Dialog,x,Slot7,槽位7,插槽 7
inpActVehicleWeaponActivateSlot8Name,UI,Controls Dialog,x,Slot8,槽位8,插槽 8
inpActVehicleWeaponActivateSlot9Name,UI,Controls Dialog,x,Slot9,槽位9,插槽 9
inpActVehicleWeaponActivateSlot10Name,UI,Controls Dialog,x,Slot10,槽位10,插槽 10
inpActVehicleWeaponActivateSlotDesc,UI,Controls Dialog,x,Press or hold Slot key to fire weapon on this slot,按下或按住槽位键来使对应的武器开火,按住或按住插槽鍵以發射此插槽上的武器
inpActVehicleWeaponHoldToggleActivatedName,UI,Controls Dialog,x,Activate Slot,激活槽位,啟用插槽
inpActVehicleWeaponHoldToggleActivatedDesc,UI,Controls Dialog,x,Hold this key and press Slot key to toggle activation of weapon,按住此按键并按槽位键以切换对应武器的激活状态,按住此鍵並按插槽鍵以切換武器的啟用
inpActVehicleWeaponFireShotName,UI,Controls Dialog,x,Fire Weapon,开火,發射武器
inpActVehicleWeaponFireShotDesc,UI,Controls Dialog,x,Press or hold to fire all weapons,按住开火键来使所有武器开火,按住或按住以發射所有武器
inpActVehicleHoldSwitchSeatName,UI,Controls Dialog,x,Switch Seat,切换座位,切換座位
inpActVehicleHoldSwitchSeatDesc,UI,Controls Dialog,x,Hold this key and press Slot key to switch to the corresponding seat,按住此按键并按槽位键以切换至对应的座位,按住此鍵並按插槽鍵以切換到相應的座位
